"gene","beta","stderr","t","p","celltype","padj","label_color","leadingEdgeIn"
"HLA-DPA1",-0.384519252142229,0.0472922420883782,-8.13070463911717,3.57914134227129e-13,"Myeloid",1.59450746798186e-09,"grey",""
"HLA-DPB1",-0.358646505724806,0.044208985666763,-8.11252509678011,3.9478592148347e-13,"Myeloid",1.75877128020886e-09,"grey",""
"RPS18",-0.120876303095694,0.0142468185332488,-8.48444182914214,5.25000343182191e-14,"Myeloid",2.33887652887666e-10,"grey",""
"PFDN6",-0.202849768950299,0.0503080892001392,-4.03215014077176,9.5477218265197e-05,"Myeloid",0.425351007371453,"grey",""
"TAPBP",-0.103759914415319,0.0551313547943099,-1.88204905905973,0.0621545383272348,"Myeloid",1,"grey",""
"CUTA",-0.0608314802531485,0.0550853753689395,-1.10431271178101,0.271578735909754,"Myeloid",1,"grey",""
"UQCC2",-0.0889317939135315,0.0629776450735698,-1.41211685209319,0.160400230531176,"Myeloid",1,"grey",""
"HMGA1",0.0194642986702197,0.054651868370635,0.35615065414082,0.722328141940012,"Myeloid",1,"grey",""
"SMIM29",0.0973833904831631,0.0537315104233643,1.8124074628808,0.0723233579190625,"Myeloid",1,"grey",""
"NUDT3",-0.274013072667261,0.0607873511210247,-4.50773175033921,1.48747055755424e-05,"Myeloid",0.0662668133390413,"grey",""
"RPS10",-0.22670993804778,0.0465052435008411,-4.87493282437451,3.23621625188685e-06,"Myeloid",0.0144173434021559,"grey",""
"SNRPC",-0.207969704067976,0.0543871192046104,-3.82387791648921,0.000206227449241016,"Myeloid",0.918743286368727,"grey",""
"TAF11",-0.251272112140493,0.0541506897072961,-4.64023844384456,8.65309967324036e-06,"Myeloid",0.0385495590442858,"grey",""
"DEF6",-0.210077577803702,0.053624100275058,-3.91759631818782,0.000146334558657052,"Myeloid",0.651920458817167,"grey",""
"RPL10A",-0.185300010698583,0.0354108612858675,-5.23285805455787,6.82808306710939e-07,"Myeloid",0.00304191100639724,"grey",""
"FKBP5",-0.264585342941422,0.0510481856081538,-5.1830508722167,8.51178645366319e-07,"Myeloid",0.00379200086510695,"grey",""
"MAPK14",-0.297238612548643,0.0569621016265549,-5.218181985232,7.28717573297848e-07,"Myeloid",0.00324643678904191,"grey",""
"KCTD20",-0.166546504473858,0.0592466950225592,-2.81106826989155,0.00573432143116651,"Myeloid",1,"grey",""
"SRSF3",-0.224560688122565,0.0520079381027791,-4.31781563189034,3.17668384800138e-05,"Myeloid",0.141521265428462,"grey",""
"CDKN1A",-0.148575177080827,0.0702256054255552,-2.11568381903562,0.0363558664346198,"Myeloid",1,"grey",""
"C6orf89",-0.111481888882241,0.0572824682006098,-1.94617816557448,0.0538771742619738,"Myeloid",1,"grey",""
"MTCH1",-0.0770772928344822,0.0485962602788231,-1.58607457430362,0.115248938367617,"Myeloid",1,"grey",""
"FGD2",-0.549130286079067,0.0562089581438033,-9.76944430590918,4.27560394854214e-17,"Myeloid",1.90478155907552e-13,"grey",""
"PIM1",-0.10532420875606,0.0547164652061425,-1.92490886169739,0.0565127871732283,"Myeloid",1,"grey",""
"ZFAND3",-0.0974112304319161,0.0518874940570818,-1.877354692149,0.0628001900443306,"Myeloid",1,"grey",""
"GLO1",-0.258370902212889,0.0560442228379355,-4.61012552462413,9.79533306328308e-06,"Myeloid",0.0436382087969261,"grey",""
"OARD1",-0.308998680103741,0.0557314044146349,-5.54442658226999,1.67401384819011e-07,"Myeloid",0.000745773169368692,"grey",""
"TREM2",0.64787849089055,0.0612097421531423,10.5845649417964,4.39475534632868e-19,"Myeloid",1.95786350678943e-15,"maroon","GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS; GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION; GOBP_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE; GOBP_REGULATION_OF_LIPID_LOCALIZATION; GOBP_REGULATION_OF_LIPID_TRANSPORT; GOBP_STEROL_TRANSPORT; GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT; GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT"
"TREM1",0.219694144141844,0.073308534357455,2.99684267415043,0.00329101211169847,"Myeloid",1,"grey",""
"TFEB",-0.209784991787387,0.0546043878628907,-3.84190721658026,0.000193140946267385,"Myeloid",0.860442915621198,"grey",""
"TOMM6",-0.125675308155238,0.0340297525636214,-3.69310085109428,0.000329685202585197,"Myeloid",1,"grey",""
